Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,555.88,584.32,567.56,564.58,536.40,515.45,493.80,527.33,518.22,510.99,496.85,472.83,468.88,457.78,470.37,462.20,460.82,467.21,464.98,483.36,479.87,467.11,468.05,459.45,445.33,445.35,442.78,429.83,438.87,437.34,442.00,446.90,465.54,462.16,430.94,456.25,469.62,490.54,514.41,520.68,521.83,552.62,534.12,545.04,,,
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,785.16,865.59,762.73,776.93,826.95,890.95,923.73,1010.82,864.20,1149.54,989.20,966.68,1000.12,1018.26,916.56,963.93,921.89,927.74,896.44,813.26,572.78,418.29,412.38,441.25,417.03,447.85,384.59,426.68,576.18,580.49,597.27,660.05,648.17,715.41,719.58,706.86,679.86,710.75,732.32,729.15,764.97,687.90,801.33,808.46,,,
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,406.17,410.48,440.52,457.18,481.40,522.13,558.39,623.70,724.83,788.40,880.32,950.83,993.72,986.23,1011.03,1027.10,1080.92,1141.30,1167.77,1070.62,1083.69,1138.19,1172.23,1203.59,1257.38,1279.50,1299.81,1290.77,1276.01,1278.84,1345.56,1381.53,1373.75,1422.61,1477.47,1543.81,1575.16,1658.96,1704.61,1764.53,1730.34,1840.18,1796.94,1953.29,,,
United Arab Emirates,ARE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,3629.59,3158.76,3285.55,2845.36,3495.05,3803.82,5490.27,5597.22,5849.81,6938.02,7914.20,8126.51,7433.22,9160.15,9861.17,10585.57,11084.64,10716.41,11666.46,10979.65,11922.63,10714.33,10652.13,11188.16,11305.33,11368.98,11435.91,11125.37,10789.95,9991.42,12087.10,11369.48,10484.09,10238.10,9716.63,8812.97,8295.73,8604.06,7820.25,7458.88,7418.41,7683.88,7766.67,7769.23,,,
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,1380.92,1379.82,1411.50,1415.68,1378.55,1404.74,1420.57,1426.92,1484.57,1487.62,1430.44,1416.54,1419.93,1447.82,1360.67,1421.55,1477.04,1504.82,1441.48,1407.39,1430.51,1483.78,1468.22,1541.66,1544.36,1582.14,1613.92,1650.34,1659.99,1661.12,1562.69,1502.04,1589.55,1717.65,1709.57,1840.44,1845.10,1923.14,1850.86,1908.28,1933.52,1920.08,1951.44,2015.19,,,
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2178.55,2317.92,1199.77,651.94,419.82,511.17,562.16,594.25,610.00,593.54,656.31,657.48,618.47,656.51,698.11,842.70,864.83,972.65,1032.96,903.55,863.03,944.35,1030.77,1002.37,1018.07,,,
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1481.76,,,,,,,,,,,,,,1529.62,1534.96,1583.59,1597.71,,,,,,,,,,
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3063.55,3115.79,3172.97,3284.05,3349.41,3463.22,3546.54,3692.81,3763.56,3792.93,4063.41,3989.63,4035.21,4264.27,4294.16,4345.87,4405.70,4671.20,4629.62,4683.85,4737.48,4694.68,4817.49,4555.15,4651.71,4602.96,4623.74,4772.37,4702.84,5001.10,5061.51,4927.78,4959.21,5147.54,5089.79,5129.22,5393.58,5469.60,5553.65,5610.34,5644.06,5446.97,5569.64,5568.76,5598.09,5564.09,5709.34,5868.35,5964.67,5862.55,5793.12,5745.23,5573.08,5464.19,5328.22,5475.82,,
Austria,AUT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1546.26,1554.03,1675.87,1824.00,1855.09,1851.84,1902.76,1920.21,2045.83,2181.63,2418.21,2508.52,2627.32,2830.95,2730.44,2654.85,2866.98,2797.42,2893.02,3138.92,3067.01,2897.01,2830.22,2843.41,2953.69,3051.60,3061.59,3174.75,3204.56,3138.98,3240.11,3415.17,3245.59,3255.78,3234.49,3373.60,3580.42,3550.40,3606.61,3591.81,3570.50,3758.46,3773.65,3973.62,4007.57,4085.57,4078.81,4019.59,4032.15,3798.15,4051.20,3921.90,3886.77,3919.25,3765.43,3804.49,,
Azerbaijan,AZE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165.49,3087.87,2464.60,2175.28,1947.69,1809.15,1513.67,1444.32,1485.15,1369.11,1403.43,1410.97,1414.53,1476.59,1539.23,1599.96,1559.57,1411.56,1520.31,1334.17,1279.55,1369.35,1472.90,1474.00,1502.08,,,
Burundi,BDI,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2519.50,2570.82,2810.06,3043.31,3021.65,3116.03,3051.30,3182.92,3590.00,3877.04,4135.20,4099.96,4473.93,4720.78,4617.50,4317.94,4622.23,4589.52,4826.56,4976.78,4743.42,4415.36,4208.26,4156.26,4334.90,4474.06,4633.92,4727.69,4770.95,4798.93,4809.87,5006.00,5040.67,4902.27,5186.19,5267.67,5536.47,5523.46,5603.16,5612.71,5669.36,5634.22,5390.72,5590.03,5592.99,5555.62,5470.49,5336.96,5454.67,5196.58,5539.47,5087.95,4836.21,4987.00,4708.22,4687.79,,
Benin,BEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,371.23,380.28,379.72,379.04,380.86,360.24,363.62,368.18,364.67,363.87,353.46,355.67,355.46,353.94,360.56,353.57,348.14,346.62,337.99,333.70,327.54,324.15,320.35,316.29,312.76,352.92,355.24,340.20,344.56,288.77,297.95,310.04,317.20,321.36,313.11,358.90,379.23,376.86,384.45,397.14,396.77,399.68,406.25,416.80,,,
Burkina Faso,BFA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,85.60,86.88,92.49,93.89,94.34,98.02,97.76,98.35,99.40,103.13,102.41,105.31,105.00,103.71,106.77,111.28,106.66,114.16,116.80,119.95,115.48,119.15,123.07,125.79,133.94,131.89,134.90,137.75,136.78,138.79,148.96,149.73,155.03,155.34,158.92,168.00,173.41,179.97,187.26,200.55,205.67,213.30,215.28,222.22,,,
Bulgaria,BGR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,2228.69,2262.79,2378.25,2463.24,2665.46,2780.33,2954.27,3084.45,3200.50,3203.61,3185.51,3309.21,3370.13,3387.27,3419.77,3450.94,3411.07,3488.29,3426.94,3237.35,2536.64,2396.01,2590.01,2519.86,2746.67,2745.71,2504.12,2425.95,2230.66,2277.37,2421.15,2410.97,2490.42,2440.70,2597.90,2691.46,2666.11,2648.87,2351.66,2416.70,2617.13,2513.35,2329.12,2477.66,,,
Bahrain,BHR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,6394.72,5971.47,8495.33,9009.06,8000.65,9584.32,8188.76,7844.32,8814.11,7794.79,8295.06,9071.02,8502.89,8833.12,9921.65,10261.44,9523.91,10493.50,10248.37,10555.27,10108.35,10837.73,11142.36,11555.54,11408.52,11109.67,12181.22,12406.71,11851.53,11988.72,11738.15,11548.55,11566.50,10894.96,11675.41,11604.25,11234.22,11318.78,10339.60,10207.85,9911.80,9657.57,10416.79,10594.00,,,
"Bahamas, The",BHS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.47,,,,,,,,,,,,,,2058.75,2113.90,2102.25,2071.11,,,,,,,,,,
Bosnia and Herzegovina,BIH,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572.25,1444.92,1049.48,906.67,363.42,388.74,461.66,718.04,892.90,881.55,1153.85,1113.71,1166.97,1163.99,1271.83,1332.79,1402.33,1405.43,1584.00,1659.51,1741.32,1937.06,1832.14,1790.29,2194.06,,,
Belarus,BLR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4465.38,4348.47,3620.73,3076.70,2615.74,2427.67,2501.35,2505.60,2466.17,2411.57,2462.41,2485.57,2550.11,2643.69,2752.76,2768.82,2965.38,2917.91,2932.10,2790.14,2900.04,3097.66,3222.45,2881.51,2928.52,,,
Belize,BLZ,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.34,,,,,,,,,,,,,,561.41,568.35,591.58,596.50,,,,,,,,,,
Bermuda,BMU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,221.85,240.14,248.67,260.69,295.59,316.78,331.39,351.41,378.53,437.33,449.27,462.38,429.44,419.42,405.70,375.87,341.40,349.82,365.42,380.76,384.86,399.69,418.96,452.16,497.50,524.43,560.81,555.90,535.85,588.18,449.19,528.74,539.90,531.08,569.22,700.31,561.02,586.82,601.31,644.50,669.82,758.00,750.28,788.80,,,
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,714.04,746.88,799.14,830.32,846.45,867.53,875.47,909.72,944.68,939.68,880.60,874.76,876.32,912.21,953.40,977.65,995.70,990.02,991.44,938.77,940.00,933.90,941.62,975.32,992.59,1028.80,1064.05,1072.76,1080.64,1069.34,1072.92,1086.64,1090.39,1136.97,1152.02,1178.85,1232.60,1288.12,1233.75,1351.03,1359.12,1404.76,1451.17,1484.93,,,
Barbados,BRB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.64,,,,,,,,,,,,,,1373.17,1423.31,1447.07,1452.11,,,,,,,,,,
Brunei Darussalam,BRN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,1306.01,1234.94,2318.59,3828.51,4579.43,5802.91,6038.59,5441.91,5468.25,6958.97,6494.86,6777.96,6956.23,7791.73,7938.29,6776.78,6757.95,5460.69,6162.84,6673.06,7333.50,7664.06,7173.83,6477.50,7560.79,7423.54,7486.60,7287.25,7269.27,7155.50,6491.14,6219.63,7088.32,6388.21,6073.84,8511.87,8609.08,9341.20,7928.68,8337.15,9829.33,9581.15,7498.25,8632.33,,,
Bhutan,BTN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.18,,,,,,,,,,,,,,281.13,310.67,313.88,355.19,,,,,,,,,,
Botswana,BWA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,726.84,735.23,717.11,707.81,723.88,768.50,741.57,847.56,880.17,884.16,875.83,982.19,959.53,922.09,922.40,880.30,904.69,1001.67,1016.00,1038.75,1035.00,1036.58,1019.27,988.65,1005.68,1023.70,1041.29,1083.87,993.87,1068.98,1008.74,1123.23,1166.03,1252.68,,,
Central African Republic,CAF,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
