Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.00,114.00,123.13,169.35,165.86,150.12,138.91,131.55,122.85,124.99,124.64,124.85,140.36,143.91,133.53,109.12,99.16,86.28,82.05,87.07,88.32,88.28,92.12,86.36,87.07,,,
Albania,ALB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.20,171.21,133.92,119.73,117.57,97.47,95.34,91.26,92.30,109.11,102.41,96.70,102.22,94.55,98.31,93.05,86.15,77.66,77.65,76.89,73.45,74.94,66.34,76.37,75.55,,,
Andorra,AND,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.80,99.73,103.86,108.18,111.16,110.53,109.73,108.67,103.73,103.56,102.34,108.17,112.81,109.74,106.81,106.79,107.75,107.62,109.44,114.74,116.22,113.65,116.53,112.51,115.34,,,
United Arab Emirates,ARE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.86,112.72,103.82,107.83,111.77,111.32,111.09,108.47,110.60,109.75,96.79,121.74,117.88,106.60,103.79,105.24,99.48,104.63,119.96,127.95,129.54,127.02,128.47,124.20,121.15,,,
Argentina,ARG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.12,119.05,111.85,105.92,106.46,111.16,109.22,104.26,103.83,109.31,111.49,110.94,121.01,118.97,119.20,110.16,110.92,103.07,104.31,107.81,101.98,98.50,99.87,100.17,107.20,,,
Armenia,ARM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.12,694.90,607.01,353.29,210.75,235.20,240.60,243.43,231.06,216.27,224.40,203.92,168.55,156.05,149.36,157.32,141.54,138.74,136.66,138.31,128.76,134.48,137.23,129.71,127.72,,,
American Samoa,ASM,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.46,,,,,,,,,,,,,,79.33,75.65,70.05,65.46,,,,,,,,,,
Australia,AUS,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.08,175.27,177.77,179.06,171.97,168.84,173.06,170.73,167.72,163.21,159.97,153.52,153.01,150.27,146.74,143.20,144.81,144.36,144.36,142.27,139.98,137.50,131.02,127.47,123.01,125.25,,
Austria,AUT,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.13,106.14,99.90,100.51,97.89,99.60,103.37,100.40,98.59,94.97,91.55,95.45,94.74,99.50,98.31,98.79,95.91,91.51,90.68,89.02,93.38,88.23,87.19,88.32,84.93,85.90,,
Azerbaijan,AZE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.83,370.98,388.40,452.61,511.54,544.96,454.67,414.03,390.73,338.34,314.74,290.17,264.99,250.65,239.18,198.71,145.60,106.59,105.83,86.67,80.22,86.92,92.70,88.83,89.86,,,
Burundi,BDI,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.94,161.00,160.32,158.05,162.47,161.52,167.42,161.45,160.95,156.03,152.45,150.80,142.40,147.14,142.67,139.58,134.97,128.22,131.06,128.77,134.83,123.35,117.82,121.85,113.77,112.36,,
Benin,BEN,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.14,222.23,221.17,213.89,214.21,206.43,230.42,226.10,214.53,212.44,173.28,174.96,179.35,182.86,182.81,180.36,204.74,210.03,204.68,209.88,218.35,217.90,215.36,209.99,208.28,,,
