Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,4.75,7.97,11.20,13.97,11.78,41.78,14.30,15.67,18.94,21.35,24.54,27.29,30.48,32.98,36.23,39.99,43.27,46.58,49.84,51.34,52.84,,,,,
Afghanistan,AFG,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,-3.17,-2.00,0.52,3.39,12.90,20.79,27.17,35.11,23.03,13.62,30.18,35.70,37.94,40.26,42.51,44.87,47.16,50.73,76.90,78.67,80.44,,,,,
Angola,AGO,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.10,28.25,-20.44,-10.18,-2.88,-5.23,-31.67,-27.06,-27.04,-28.55,-29.74,-28.84,-29.32,-28.32,-25.83,-24.72,-24.96,-21.60,-18.40,-15.66,-14.82,-13.97,,,,,
Albania,ALB,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.87,-10.91,-7.95,9.31,8.71,2.81,-3.47,-6.89,-7.46,2.43,-7.92,-8.39,-2.90,-3.02,-2.74,-2.42,-1.62,-1.19,-2.82,1.78,2.80,3.82,,,,,
Andorra,AND,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.58,3.12,5.70,8.99,13.33,16.55,21.71,24.32,29.40,34.93,34.71,37.82,43.74,48.21,55.39,65.91,82.72,78.55,79.55,83.27,85.38,87.49,,,,,
United Arab Emirates,ARE,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.70,10.96,9.07,15.73,25.01,36.90,37.57,38.88,37.56,49.44,46.90,52.42,61.40,65.75,67.35,75.87,80.34,79.75,84.09,88.21,90.09,91.97,,,,,
Argentina,ARG,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.41,0.06,-0.50,-0.99,0.11,-0.67,0.48,-1.78,-3.70,-2.81,-3.50,-6.06,-1.00,-0.57,-1.92,-2.02,-4.21,-4.10,-8.79,-15.03,-14.18,-13.33,,,,,
Armenia,ARM,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.99,-9.84,-16.91,-12.20,-16.00,-11.36,-9.56,-11.68,-9.36,-11.22,-12.32,-9.88,-6.12,-2.18,2.44,6.73,7.48,11.95,12.48,15.19,16.87,18.55,,,,,
American Samoa,ASM,Methane emissions (% change from 1990),EN.ATM.METH.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,5.87,8.37,10.60,12.64,14.46,16.07,17.28,18.45,19.55,20.95,22.32,23.58,25.12,26.86,28.75,31.92,36.09,40.38,45.43,46.89,48.34,,,,,
