Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,10.25,10.45,10.66,10.86,11.04,11.22,11.51,11.67,12.23,12.49,12.68,12.94,13.18,13.36,13.65,13.97,13.85,14.30,14.55,14.90,15.18,15.49,15.90,16.39,16.88,17.30,16.96,21.52,17.35,17.55,18.05,18.42,18.90,19.32,19.80,20.18,20.68,21.25,21.74,22.25,22.74,22.97,23.20,,,,,
Afghanistan,AFG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,10202.00,10201.50,9170.59,9403.54,9987.93,10476.60,10535.60,10455.90,10380.10,10176.20,10376.60,10304.80,10259.80,9858.04,9054.65,8308.71,7415.09,7485.19,7920.27,7465.04,7627.58,7702.08,7385.53,7474.89,7666.93,7885.84,8611.68,9213.60,9700.17,10305.90,9384.18,8666.50,9929.43,10350.60,10521.40,10698.70,10869.90,11049.70,11224.40,11497.30,13493.30,13628.23,13763.17,,,,,
Angola,AGO,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,23376.60,14500.00,15590.00,16651.70,15008.30,17061.40,15036.70,17437.00,18279.20,22903.70,19634.20,17404.80,19170.30,19184.30,15733.00,16094.50,15881.20,20493.00,15798.00,17298.50,22056.40,19167.40,28287.50,17547.50,19810.00,21420.50,20902.90,15071.00,16087.00,16092.00,15758.30,15496.90,15694.80,15589.80,15809.00,16358.60,16603.70,16551.00,17292.60,17997.90,18602.40,18788.42,18974.45,,,,,
Albania,ALB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1763.64,1717.47,1737.08,1794.07,1815.36,1864.83,1943.17,2002.10,2113.28,2182.00,2228.41,2235.50,2245.35,2306.81,2327.29,2288.99,2368.58,2496.97,2606.35,2648.33,2546.96,2397.49,2268.97,2344.40,2783.96,2768.73,2618.41,2458.46,2371.49,2356.87,2608.80,2345.23,2333.22,2473.19,2470.02,2477.05,2485.28,2505.74,2516.63,2475.20,2592.37,2618.29,2644.22,,,,,
Andorra,AND,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,220969.23,229758.14,242967.36,270507.40,258537.15,254533.20,285842.25,287198.89,284707.25,288841.23,285216.88,244921.34,233559.89,225066.00,218171.57,217994.29,227845.97,230602.06,237653.03,249031.14,251115.98,242115.09,258960.25,265432.05,273682.59,284590.38,292685.00,305629.76,312192.25,324941.76,338834.64,338279.93,346077.39,360946.25,372186.32,390212.53,416619.45,458840.65,448371.81,450868.36,460215.96,465511.70,470807.42,,,,,
United Arab Emirates,ARE,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,12873.00,15994.80,17430.90,22124.50,22447.20,22133.10,26644.60,25239.90,28053.70,19337.00,18727.50,14826.20,13402.00,12827.70,15765.20,15227.50,13462.80,12880.40,12085.90,13242.50,13606.00,14654.30,15097.30,14840.70,15746.50,17009.10,18626.20,18717.40,18896.10,18716.30,20332.70,19986.80,20738.60,21960.50,22552.00,22769.40,23928.40,24537.10,24457.40,25047.00,25607.40,25863.47,26119.55,,,,,
Argentina,ARG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,84917.80,84729.10,88496.00,90791.30,91811.90,93881.00,97258.40,99683.60,96972.30,96622.10,95741.20,93157.70,91897.80,94102.10,94813.50,94616.90,94628.50,95248.50,98104.20,100292.00,102083.00,100648.00,102146.00,101568.00,101069.00,102195.00,101400.00,102577.00,100269.00,98301.30,99214.10,98515.10,95893.30,101066.00,101501.00,100126.00,100025.00,97783.60,97896.60,93113.20,86741.60,87609.02,88476.43,,,,,
Armenia,ARM,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1317.98,1384.62,1440.48,1485.25,1541.25,1587.12,1590.73,1582.01,1575.56,1562.06,1542.94,1523.36,1531.89,1564.49,1605.02,1628.66,1632.63,1646.58,2491.32,2669.38,2889.70,2745.41,2605.21,2400.96,2537.16,2427.42,2561.53,2613.39,2552.16,2619.24,2565.36,2533.70,2604.24,2712.88,2826.69,2960.23,3084.15,3105.73,3234.91,3250.45,3328.72,3377.20,3425.68,,,,,
American Samoa,ASM,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,6.12,6.17,6.24,6.33,6.45,6.58,6.68,6.83,6.87,6.89,6.97,7.10,7.35,7.63,7.92,8.18,8.43,8.73,9.01,9.35,8.84,9.12,9.36,9.58,9.78,9.96,10.12,10.26,10.37,10.47,10.57,10.69,10.81,10.93,11.06,11.22,11.38,11.66,12.03,12.41,12.86,12.99,13.12,,,,,
Antigua and Barbuda,ATG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,24.31,26.42,26.21,26.48,25.50,25.43,25.01,26.16,27.77,31.50,34.41,34.18,36.72,35.68,35.89,37.37,37.30,37.49,37.76,35.41,35.51,35.76,36.01,36.47,37.09,37.49,37.13,36.98,36.75,36.69,36.68,37.49,38.07,38.62,39.40,39.64,40.19,40.71,41.34,41.89,42.42,42.85,43.27,,,,,
Australia,AUS,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,94290.80,93855.20,106378.00,97724.10,102739.00,107139.00,114340.00,110996.00,99816.30,106411.00,109630.00,97530.10,107729.00,98933.40,101429.00,113739.00,109178.00,103771.00,103628.00,109117.00,115150.00,120601.00,116503.00,112836.00,123283.00,112637.00,113515.00,118625.00,116914.00,121783.00,128133.00,136147.00,132305.00,125529.00,126732.00,122172.00,119085.00,135612.00,122245.00,127532.00,122574.00,124100.34,125588.19,,,,,
Austria,AUT,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,9022.21,8936.10,8915.63,9092.98,9242.43,9225.31,9256.60,9379.33,9412.63,9606.65,9714.19,9733.11,9873.12,9909.95,10102.80,10297.30,10245.40,10168.70,10346.80,10158.80,10029.30,10039.80,9884.56,9936.15,9627.20,9560.78,9454.04,9247.57,9154.76,9106.53,8984.80,8892.31,8792.20,8704.10,8571.02,8456.51,8432.23,8384.12,8304.94,8266.99,8391.49,8137.71,8006.81,,,,,
Azerbaijan,AZE,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,6397.68,6584.08,6796.62,7016.63,7342.00,7682.02,7925.10,8129.77,8380.82,8611.20,8835.25,9008.95,9255.25,9554.46,9915.83,10274.80,10683.40,11020.60,11206.40,11350.30,11458.50,11045.70,10495.10,9898.54,9473.40,9117.49,8898.35,8875.62,9117.41,9700.05,9954.63,10274.20,10584.20,11059.90,11330.60,12102.30,13077.10,14806.80,16945.90,17922.20,18400.50,19177.91,19955.36,,,,,
Burundi,BDI,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1468.92,1458.38,1516.03,1545.30,1565.52,1601.20,1603.62,1613.04,1638.31,1676.56,1554.06,1438.55,1460.67,1478.26,1518.95,1486.00,1595.95,1598.36,1632.10,1664.13,1716.43,1748.87,1793.64,1844.03,1855.69,1847.70,1897.05,1921.63,1968.26,1496.81,1504.84,2089.83,2130.50,2133.74,2231.44,2279.68,2353.09,2413.61,2482.80,2587.94,2665.55,2692.21,2718.86,,,,,
Belgium,BEL,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,14123.10,13728.70,13629.00,13962.10,14215.90,13980.40,13888.20,13986.80,13757.10,13809.50,13818.40,13761.30,13726.50,13607.20,13811.80,13979.30,13626.90,13297.90,12429.80,12415.30,12445.00,12512.00,12297.80,12053.30,12007.00,12157.70,11715.80,11367.90,11113.10,11322.70,11079.00,10709.90,10250.10,9916.40,9906.04,9623.69,9584.15,9547.30,9537.89,9586.10,9632.35,9414.72,9243.35,,,,,
Benin,BEN,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,3460.96,3378.42,3381.77,3723.05,2893.84,3191.05,3335.67,3905.00,3344.62,3645.15,4533.24,3821.82,4412.49,4154.09,4143.93,3827.90,3778.02,3967.14,3733.38,4082.09,5119.50,4131.13,4779.61,4489.97,4604.69,4947.61,4930.25,5039.62,4245.88,4658.25,4503.77,4433.23,4994.05,4124.69,4369.94,4377.31,4526.10,5598.09,7086.59,7181.71,6845.63,6914.09,6982.54,,,,,
Burkina Faso,BFA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,4613.42,4602.10,4405.45,4330.75,4135.98,4289.10,4417.34,4638.97,4609.52,4850.84,5223.71,5180.78,5437.93,5473.43,5633.82,6038.60,6180.20,6375.34,6461.33,6710.69,7238.16,7141.10,7577.76,7730.34,8009.29,8432.06,8680.18,9006.01,9210.40,8627.91,9039.73,10043.70,10031.40,10453.40,11059.70,11746.20,12228.70,13396.20,13564.00,14147.20,14663.90,14810.54,14957.18,,,,,
Bangladesh,BGD,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,91304.90,86454.80,88057.20,88622.80,87762.20,90812.20,88206.10,88930.30,91214.20,92273.50,87058.40,88085.00,88597.90,83607.60,86141.60,87075.00,88140.60,86484.10,86033.60,87640.10,87092.70,85947.70,86069.70,84822.60,84986.00,85432.80,86646.30,87234.00,85824.80,89556.10,89247.20,90645.80,92039.30,92994.30,91778.30,94197.90,95019.60,96499.60,97832.10,99687.70,103080.00,104110.80,105141.60,,,,,
Bulgaria,BGR,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,9939.90,10259.60,10689.50,11019.70,11132.30,11700.70,12117.20,12384.80,12717.10,13107.40,13535.10,13953.90,14382.00,14672.70,14989.70,15044.50,15245.30,15485.20,15495.70,15762.40,15675.50,15096.20,14847.60,14039.00,13612.60,13564.60,13735.80,13552.90,13685.20,13626.70,13783.30,13442.50,13037.50,13144.40,13134.30,12778.30,12652.30,12461.80,12280.20,11969.90,12010.70,11881.80,11793.66,,,,,
