Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,2.62,7.28,11.98,12.43,-29.50,225.01,-44.72,-50.81,-53.75,-56.24,-54.87,-57.65,-57.60,-56.28,-51.24,-51.56,-50.23,-48.21,-46.20,-45.66,-45.12,,,,,
Afghanistan,AFG,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,-1.06,0.67,-5.60,-0.48,7.30,15.64,21.28,31.02,20.68,11.31,22.80,21.43,21.98,24.14,24.67,26.28,27.26,21.58,22.14,23.36,24.58,,,,,
Angola,AGO,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.56,43.79,-39.13,-20.71,-17.33,-34.54,-84.59,-83.87,-84.06,-83.09,-82.70,-82.21,-81.76,-82.72,-82.80,-80.76,-82.22,-81.47,-80.37,-79.86,-79.66,-79.45,,,,,
Albania,ALB,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.50,-35.11,-40.16,-31.44,-37.04,-42.25,-45.59,-40.37,-40.66,-19.02,-40.58,-36.59,-38.80,-34.03,-34.22,-31.05,-31.39,-28.87,-26.96,-27.98,-27.26,-26.54,,,,,
Andorra,AND,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
Arab World,ARB,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.51,1.61,3.86,5.31,11.22,8.70,9.47,10.39,14.90,13.86,10.86,14.54,11.74,14.70,20.59,43.32,101.50,68.47,68.40,64.24,65.95,67.67,,,,,
United Arab Emirates,ARE,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,11.93,20.66,21.46,35.73,34.52,40.35,36.59,42.40,43.25,10.31,19.75,27.98,30.19,32.26,33.46,37.59,34.34,75.27,124.73,126.98,129.22,,,,,
Argentina,ARG,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.81,1.12,1.27,-1.46,-0.01,3.44,1.99,4.17,8.80,9.32,16.26,14.97,27.36,24.56,29.89,32.88,37.82,40.43,15.95,35.15,36.51,37.86,,,,,
Armenia,ARM,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.11,-19.29,-30.57,-39.18,-41.85,-39.71,-41.33,-41.59,-44.26,-42.65,-41.88,-40.63,-41.36,-26.98,-27.53,-22.02,-17.72,-9.16,4.92,22.45,24.75,27.04,,,,,
American Samoa,ASM,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,2.43,2.60,3.78,5.75,6.01,7.21,8.12,666.20,2199.38,2457.82,2458.16,2458.36,2457.90,2457.81,2457.92,2458.10,2458.23,2458.39,2458.63,2484.22,2509.81,,,,,
Antigua and Barbuda,ATG,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,2.83,1.79,6.17,9.53,12.98,17.08,28.65,31.56,27.79,29.22,30.49,34.30,39.53,39.39,40.87,43.14,45.78,48.50,51.50,53.01,54.53,,,,,
Australia,AUS,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,-2.33,-8.22,16.08,-8.60,-3.85,2.99,0.95,12.18,20.17,29.60,16.39,10.52,10.69,-0.97,-8.76,22.92,-9.10,-3.59,-18.18,-15.96,-13.75,,,,,
Austria,AUT,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,24.93,28.05,27.32,23.11,-1.69,-3.18,-1.57,0.66,-0.04,-10.95,-12.83,-12.01,-22.30,-22.78,-23.31,-24.44,-24.06,-29.21,-29.25,-28.94,-28.66,,,,,
Azerbaijan,AZE,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.93,-16.24,-23.97,-27.59,-30.43,-32.70,-29.72,-28.97,-25.60,-23.85,-19.20,-14.71,-9.06,-8.29,-4.14,-6.66,-4.46,-1.62,0.31,-0.72,-0.23,0.25,,,,,
Burundi,BDI,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,5.13,5.10,-6.71,-4.48,-8.71,-12.17,-9.60,-17.51,-21.91,-10.60,-10.03,-7.15,-6.48,-4.31,-4.51,-2.57,-0.49,7.65,15.05,16.20,17.35,,,,,
Belgium,BEL,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,6.61,8.12,16.57,21.71,37.84,34.43,33.58,26.17,19.86,-1.79,-3.80,-13.19,-12.86,-11.25,-11.07,-8.86,-9.14,-7.81,3.07,-10.65,-13.48,,,,,
Benin,BEN,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.10,-6.84,-12.88,-11.39,-3.26,-2.70,0.25,-8.95,-7.31,-10.42,-18.34,-5.87,-24.17,-16.02,-21.76,-21.37,3.66,37.60,38.29,27.83,29.11,30.38,,,,,
Burkina Faso,BFA,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.17,2.47,3.12,6.34,13.82,16.63,22.35,24.00,26.86,32.61,36.62,33.31,40.56,48.44,55.18,57.76,81.53,73.20,79.02,71.87,73.59,75.31,,,,,
Bangladesh,BGD,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07,15.73,20.95,26.83,32.44,38.07,30.09,31.97,30.11,28.20,26.37,25.77,27.97,30.82,32.32,33.51,35.64,37.63,50.74,61.47,63.08,64.69,,,,,
Bulgaria,BGR,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.16,-37.01,-46.44,-44.29,-7.72,-6.49,-17.26,-45.32,-51.45,-45.68,-48.73,-57.48,-58.00,-55.01,-57.82,-59.46,-59.47,-59.16,-59.06,-51.70,-50.80,-49.90,,,,,
Bahrain,BHR,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.15,6.14,5.72,7.29,7.77,12.03,12.94,28.40,21.97,25.58,28.29,40.58,44.90,49.73,60.27,61.39,68.10,65.73,67.77,77.30,79.07,80.85,,,,,
"Bahamas, The",BHS,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.54,-5.81,-12.15,-5.46,14.28,26.72,23.95,55.01,34.05,34.14,31.89,35.27,48.16,55.09,58.98,68.79,77.94,87.68,100.30,115.14,117.29,119.44,,,,,
Bosnia and Herzegovina,BIH,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.32,-20.48,-22.93,-36.15,-40.94,-50.04,-44.12,-23.54,-15.14,32.73,-26.80,-27.18,-8.22,-22.47,-21.29,-20.40,-13.74,-18.33,-11.59,-12.55,-11.67,-10.80,,,,,
Belarus,BLR,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.21,-20.55,-27.87,-34.83,-34.91,-34.16,-34.29,-36.91,-39.99,-43.07,-45.65,-43.52,-45.56,-42.88,-41.12,-39.92,-38.55,-37.86,-36.12,-33.12,-32.05,-30.98,,,,,
Belize,BLZ,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.94,3.37,7.28,-1.41,-6.65,-1.29,-8.40,-8.68,-0.49,13.50,4.41,3.45,10.96,4.57,9.24,11.00,11.16,12.16,29.06,51.32,52.83,54.35,,,,,
Bermuda,BMU,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.62,-17.56,-17.47,-14.52,-15.32,-16.30,-18.48,4.69,6.35,1.11,-1.93,-1.71,-0.65,9.25,13.89,18.66,21.58,28.82,35.64,44.02,45.46,46.90,,,,,
Bolivia,BOL,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.72,1.05,11.08,-21.90,-11.60,-7.46,-5.28,-23.06,47.74,-22.41,-23.61,-12.38,-28.70,91.39,4.59,-37.44,-38.79,-39.88,-38.21,-34.68,-34.02,-33.37,,,,,
Brazil,BRA,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,5.94,13.39,3.34,9.79,7.40,10.15,23.14,15.75,7.68,16.34,19.70,29.51,40.84,51.98,19.40,20.97,21.76,21.36,32.43,34.61,36.80,,,,,
Barbados,BRB,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,0.69,-6.71,-6.65,-4.97,-4.60,-6.25,-4.49,-2.74,-0.73,-11.82,-21.72,-22.89,-21.32,-20.44,-21.28,-19.72,-18.41,-19.59,-17.76,-16.93,-16.11,,,,,
Brunei Darussalam,BRN,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.65,30.86,6.60,-6.09,7.39,-18.50,-18.00,324.31,-4.35,-30.88,-26.83,-27.95,-29.99,-35.11,14.45,-34.79,-38.43,-41.87,-41.51,-41.23,-40.64,-40.06,,,,,
Bhutan,BTN,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,-2.13,-1.59,-0.76,5.37,3.94,4.88,18.76,75.27,57.26,32.62,22.97,15.21,20.04,20.64,76.30,23.57,36.82,75.42,204.34,207.38,210.43,,,,,
Botswana,BWA,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-23.85,24.99,-40.35,-23.68,-15.76,-32.68,-35.94,-51.29,-50.69,-53.71,-22.19,-11.60,-49.77,-48.70,-43.24,-63.75,-61.41,-63.76,-60.75,-59.50,-59.09,-58.69,,,,,
Central African Republic,CAF,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.02,-13.10,-23.25,-24.76,-10.91,-14.24,-12.31,-48.31,-43.12,-38.62,-17.90,-47.91,-40.32,-44.47,-40.80,110.31,238.74,125.09,70.10,93.53,95.46,97.40,,,,,
Canada,CAN,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,0.64,9.79,46.82,53.18,23.02,16.96,37.58,11.92,-2.44,-17.70,-9.93,-1.58,-2.26,-14.31,-20.40,-20.32,-22.22,-28.07,-28.36,-27.77,-27.48,,,,,
Central Europe and the Baltics,CEB,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.16,-20.32,-24.44,-22.44,-18.64,-16.71,-18.79,-24.47,-25.58,-23.60,-30.46,-33.21,-31.43,-30.77,-31.14,-32.96,-33.14,-34.68,-39.71,-36.26,-36.90,-37.06,,,,,
Switzerland,CHE,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,-1.71,-4.11,-1.16,-3.02,-4.85,-8.10,-8.32,-12.55,-11.52,-12.63,-14.44,-15.07,-14.52,-15.73,-15.21,-15.38,-14.16,-15.79,-15.19,-16.47,-17.14,,,,,
Channel Islands,CHI,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59,6.83,10.20,13.15,20.00,23.85,27.66,26.92,35.40,41.86,40.51,42.58,48.18,52.42,56.25,58.27,75.17,79.71,61.18,65.74,67.40,69.06,,,,,
China,CHN,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,3.95,2.00,6.75,19.87,24.40,18.57,21.64,21.64,21.64,23.93,23.93,24.43,32.36,35.27,40.66,44.56,47.61,55.01,61.64,67.05,72.47,,,,,
Cote d'Ivoire,CIV,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.33,-5.34,-9.92,-9.62,-0.54,-2.20,1.67,-0.55,-14.03,10.99,8.54,6.29,-15.80,-16.76,-1.84,1.59,8.87,16.08,23.13,29.13,30.42,31.71,,,,,
Cameroon,CMR,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.79,-8.23,-14.43,-14.50,-5.54,-7.42,-5.29,-20.43,-16.78,2.73,11.97,-15.07,-15.82,-11.80,-13.70,6.20,92.44,49.58,48.68,30.28,31.58,32.89,,,,,
"Congo, Dem. Rep.",COD,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.92,38.70,-31.70,-16.05,-14.08,-30.04,-34.54,-31.17,-42.63,-32.85,-35.71,-29.53,-42.22,-33.42,-37.24,-10.60,71.83,-26.71,-27.18,-23.56,-22.79,-22.03,,,,,
"Congo, Rep.",COG,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.91,23.78,-21.63,-12.44,-11.75,-22.08,-23.97,-25.09,-34.18,-21.45,-3.19,-34.29,-28.06,-21.51,-17.19,-42.97,1.14,-37.13,-35.09,-33.37,-32.70,-32.04,,,,,
Colombia,COL,Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.38,-0.55,3.08,-1.12,0.95,2.91,3.21,0.85,-6.11,3.40,-0.21,1.02,3.26,6.26,4.86,10.65,16.27,17.97,24.78,23.76,25.00,26.23,,,,,
