Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,1.83,1.83,1.84,1.82,1.82,1.83,2.63,2.78,5.30,6.07,6.17,7.05,7.62,7.29,7.83,8.65,6.47,8.94,11.00,11.87,11.82,11.86,12.13,12.68,13.24,13.29,8.34,38.43,6.54,5.82,5.47,5.17,5.34,5.01,5.01,5.17,5.77,5.73,5.88,6.12,6.36,6.43,6.49,,,,,
Afghanistan,AFG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,3042.26,3006.14,2530.16,2674.40,2937.32,3153.72,3265.63,3268.98,3272.92,3214.55,3275.03,3256.71,3327.32,3188.66,3062.15,2862.54,2516.90,2677.11,2772.04,2771.31,2748.20,2755.89,2719.01,2766.65,2594.43,2735.14,2948.81,3178.00,3333.00,3600.56,3316.57,3058.89,3374.66,3337.09,3352.37,3411.74,3426.12,3470.36,3497.23,3341.15,3356.56,3390.12,3423.69,,,,,
Angola,AGO,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,28392.65,15844.22,16758.85,17638.94,14997.74,17645.91,14751.91,16804.11,17304.32,23134.71,17712.69,14191.37,16174.53,15584.48,10110.25,9936.77,9368.45,15491.72,8688.46,10695.65,17723.26,13369.56,25484.36,10787.50,14052.83,14652.46,11602.22,2731.97,2858.61,2824.70,2996.28,3065.84,3152.70,3232.06,3063.06,3047.59,3409.91,3150.72,3283.40,3478.79,3569.87,3605.57,3641.26,,,,,
Albania,ALB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,741.90,756.03,756.81,803.65,819.49,818.46,925.24,1007.16,1207.77,1229.90,1239.94,1287.82,1254.67,1481.11,1463.59,1467.70,1542.72,1487.76,1544.60,1694.61,1560.12,1006.29,1012.36,933.59,1069.57,982.31,900.89,848.84,930.33,925.84,1263.43,927.01,989.20,954.86,1029.16,1026.21,1075.75,1070.38,1109.75,1139.56,1123.57,1134.81,1146.04,,,,,
Andorra,AND,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,
Arab World,ARB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,53859.36,54223.32,55425.76,57593.56,52106.47,55904.24,57842.98,63031.68,60426.44,65268.32,77900.42,74347.20,82507.26,81393.40,82006.79,80549.90,82842.42,85197.96,85476.84,88559.35,96302.95,87142.83,97856.16,100016.83,101413.84,107105.15,104679.92,105426.97,106313.14,110649.90,109651.99,106760.39,110307.91,107604.27,110461.42,116129.85,138022.23,194049.22,162242.70,162169.81,158165.28,159818.80,161472.31,,,,,
United Arab Emirates,ARE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,183.09,220.05,238.86,295.16,306.13,303.45,338.62,347.95,400.04,350.98,439.82,445.98,472.59,498.23,804.68,824.26,883.81,937.63,978.20,1081.06,1052.68,1134.92,1178.23,1270.14,1278.63,1428.80,1416.05,1477.40,1437.90,1499.03,1507.91,1161.22,1260.61,1347.19,1370.46,1392.26,1404.92,1448.33,1414.14,1845.06,2365.67,2389.33,2412.99,,,,,
Argentina,ARG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,32317.19,30727.63,32740.34,32966.95,33176.20,34420.23,36270.00,35827.01,36047.42,36583.72,36149.72,35149.97,35116.49,35544.91,35504.30,35305.28,35461.83,36097.33,36817.15,35704.56,38519.05,37821.55,38948.71,39008.85,37955.16,38514.71,39843.37,39285.06,40126.40,41908.59,42109.47,44782.91,44284.43,49056.26,47979.01,50032.14,51185.96,53085.95,54092.83,44661.70,52060.16,52580.76,53101.36,,,,,
Armenia,ARM,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,527.83,558.37,581.02,604.71,629.81,666.13,664.04,681.58,694.78,706.83,729.29,734.21,744.32,774.92,789.21,807.56,812.71,821.66,807.58,780.15,805.09,780.04,649.76,559.00,489.65,468.18,485.40,472.36,470.21,448.76,461.69,467.89,478.00,472.09,587.88,583.46,627.77,662.44,731.35,844.71,985.83,1004.32,1022.81,,,,,
American Samoa,ASM,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,0.77,0.76,0.75,0.76,0.75,0.82,0.82,0.86,0.84,0.89,1.08,1.73,0.83,0.88,0.92,0.94,0.98,1.00,1.03,1.09,0.91,0.91,0.93,0.93,0.94,0.96,0.96,0.97,0.98,6.95,20.87,23.22,23.22,23.22,23.22,23.22,23.22,23.22,23.22,23.22,23.22,23.46,23.69,,,,,
Antigua and Barbuda,ATG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,10.22,11.18,11.15,11.49,11.09,11.48,11.94,12.31,13.74,14.79,16.93,16.12,18.53,16.18,17.53,17.88,16.50,16.51,18.17,16.74,16.74,16.94,17.21,17.03,17.77,18.33,18.91,19.59,21.53,22.02,21.39,21.63,21.84,22.48,23.35,23.33,23.58,23.95,24.40,24.85,25.35,25.61,25.86,,,,,
Australia,AUS,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,52432.78,49790.03,61266.85,48457.96,53544.75,59253.40,69355.68,66314.27,54317.27,65181.53,68823.72,50442.27,62563.27,52196.56,53159.73,69421.71,60232.69,51142.87,52741.85,55953.76,62893.42,67895.58,61429.60,57722.31,73006.55,57486.09,60474.80,64776.05,63490.48,70555.38,75581.41,81507.99,73204.02,69507.58,69618.87,62283.03,57384.10,77306.87,57169.27,60633.52,51461.86,52854.67,54247.48,,,,,
Austria,AUT,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,5857.54,6101.20,6169.65,6471.68,6587.16,6485.36,6620.21,6733.48,6803.14,6837.76,6835.53,6718.20,6314.48,6281.90,6255.58,5980.68,5759.86,5446.05,5740.58,5330.23,5312.66,5320.19,6637.32,6802.73,6763.83,6540.35,5222.63,5143.46,5229.45,5347.50,5310.55,4730.97,4631.12,4674.52,4127.74,4102.54,4074.30,4014.44,4034.31,3760.80,3758.66,3775.37,3789.94,,,,,
Azerbaijan,AZE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,1857.70,1951.80,2001.48,2099.07,2174.76,2290.60,2269.47,2329.00,2346.58,2367.07,2421.15,2427.75,2441.93,2534.85,2591.42,2640.13,2707.08,2732.75,2700.96,2623.13,2665.81,2614.25,2232.92,2026.82,1930.22,1854.52,1794.09,1873.40,1893.41,1983.41,2029.90,2153.86,2273.66,2424.37,2444.95,2555.32,2488.18,2546.87,2622.75,2674.21,2646.58,2659.57,2672.57,,,,,
Burundi,BDI,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,637.56,643.08,655.53,690.51,664.52,717.35,723.05,724.77,712.11,728.31,653.34,578.10,581.15,588.10,569.02,591.42,646.32,630.79,648.25,602.11,672.78,682.00,707.28,707.10,627.64,642.62,614.16,590.89,608.18,554.98,525.36,601.47,605.28,624.71,629.17,643.80,642.41,655.50,669.52,724.25,774.00,781.74,789.48,,,,,
Belgium,BEL,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,10669.77,11390.73,11637.46,11775.72,13428.02,11201.39,11253.87,12676.68,13317.32,13450.50,13568.17,13961.47,13163.75,13889.27,14975.08,14633.83,14129.96,13647.29,12975.79,12619.60,9828.05,10483.98,10478.00,10625.65,11456.33,11961.85,13546.54,13211.49,13127.91,12400.00,11780.00,9652.10,9454.81,8531.57,8564.15,8722.75,8739.80,8957.67,8930.08,9060.46,10129.62,8781.71,8502.95,,,,,
Benin,BEN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,2625.33,2561.11,2549.85,2793.71,2150.47,2344.46,2433.60,2873.62,2457.95,2684.87,3349.77,2798.83,3253.17,3070.46,3079.14,2829.99,2786.14,2904.26,2687.91,2928.63,3732.52,2982.11,3477.15,3251.68,3307.20,3610.66,3631.65,3741.73,3398.28,3459.79,3343.60,3047.92,3513.35,2830.33,3134.72,2920.37,2934.95,3869.11,5135.93,5161.66,4771.18,4818.89,4866.60,,,,,
Burkina Faso,BFA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,2515.14,2486.87,2363.41,2375.81,2110.33,2250.22,2328.79,2575.51,2409.31,2573.96,2932.42,2734.96,3041.13,2986.28,3042.52,3191.79,3332.75,3480.40,3480.49,3684.82,4201.93,3942.52,4305.90,4333.03,4468.31,4782.49,4900.54,5141.20,5210.42,5330.76,5571.97,5740.86,5601.73,5906.15,6237.45,6520.48,6629.04,7627.77,7277.72,7522.46,7222.04,7294.26,7366.48,,,,,
Bangladesh,BGD,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,9831.84,9460.43,9934.42,10077.42,9780.10,10568.64,10897.12,11443.96,12137.86,12648.40,11498.86,11457.85,12030.45,12423.65,13083.12,13132.16,13727.82,14221.44,15066.34,16166.75,16201.41,18157.72,18749.85,19595.29,20548.32,21457.24,22369.10,21076.62,21381.51,21080.00,20770.00,20473.89,20375.77,20732.80,21193.96,21436.93,21631.30,21976.06,22298.70,24422.11,26159.63,26421.23,26682.82,,,,,
Bulgaria,BGR,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,10100.61,10045.95,10460.08,10423.19,10807.50,12238.68,11865.87,12235.48,11945.08,12306.66,12572.70,12968.51,12690.44,12780.06,11941.20,12086.81,11845.94,11540.00,15049.29,10067.25,9273.53,7774.96,5841.49,4967.25,5166.24,8557.15,8671.72,7673.15,5070.39,4501.88,5037.28,4754.66,3942.95,3895.09,4172.41,3911.64,3759.43,3758.53,3787.24,3797.00,4479.16,4562.37,4645.58,,,,,
Bahrain,BHR,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,13.42,13.67,15.83,19.38,21.94,25.79,29.50,34.03,36.89,38.65,39.68,45.00,47.40,52.61,53.30,58.58,68.62,63.19,66.60,69.31,72.58,71.74,77.04,76.73,77.87,78.21,81.31,81.97,93.19,88.53,91.14,93.11,102.03,105.17,108.67,116.32,117.14,122.01,120.29,121.76,128.68,129.97,131.26,,,,,
"Bahamas, The",BHS,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,41.18,41.26,43.39,47.56,40.90,49.75,51.12,53.32,56.18,51.56,59.46,67.17,65.74,56.02,58.67,50.38,47.79,49.10,55.54,58.38,59.66,58.15,56.20,52.42,56.40,68.19,75.61,73.95,92.49,79.98,80.04,78.69,80.71,88.40,92.53,94.86,100.71,106.17,111.98,119.51,128.36,129.64,130.93,,,,,
Bosnia and Herzegovina,BIH,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,1312.69,1328.88,1290.94,1329.74,1395.98,1390.16,1360.96,1369.47,1354.37,1337.04,1344.62,1313.93,1326.31,1343.66,1367.07,1316.43,1287.21,1288.70,1298.90,1231.14,1259.75,1154.89,1001.70,970.90,804.38,744.03,629.33,703.92,963.21,1069.02,1672.12,922.18,917.34,1156.14,976.74,991.61,1002.79,1086.62,1028.90,1113.75,1101.71,1112.72,1123.74,,,,,
Belarus,BLR,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,15590.18,16272.52,16902.97,17740.59,18556.35,19236.37,19320.07,19438.58,19512.05,19517.41,19643.86,19263.80,19126.47,20024.92,19849.11,20044.82,20040.85,20160.60,19821.18,18745.17,20146.87,18088.93,16006.91,14532.89,13130.24,13113.96,13264.59,13238.40,12710.00,12090.00,11470.00,10949.32,11379.33,10967.55,11507.63,11862.65,12103.98,12379.60,12518.39,12870.70,13473.31,13689.23,13905.15,,,,,
Belize,BLZ,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,85.61,84.23,87.41,88.54,95.48,97.95,90.14,97.43,101.92,115.51,108.48,97.15,121.62,106.09,112.15,112.37,118.33,130.39,129.02,122.51,129.72,143.91,134.09,139.16,127.88,121.09,128.05,118.82,118.45,129.09,147.23,135.44,134.20,143.93,135.64,141.70,143.98,144.19,145.50,167.42,196.29,198.25,200.22,,,,,
Bermuda,BMU,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,5.20,5.25,5.71,5.91,6.50,7.92,8.42,8.75,9.40,9.14,10.82,10.47,11.01,13.33,14.24,12.12,11.14,11.19,17.29,19.68,14.20,13.54,11.71,11.72,12.14,12.02,11.89,11.57,14.86,15.10,14.36,13.92,13.96,14.11,15.51,16.17,16.85,17.26,18.29,19.26,20.45,20.65,20.86,,,,,
Bolivia,BOL,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,12893.37,8585.76,10895.88,8886.93,9850.78,11390.18,13440.48,10147.94,12679.56,13525.73,14330.12,12753.31,13395.63,13923.25,10530.36,11463.27,12084.17,15045.32,12475.14,12644.71,14607.05,13772.03,14760.74,16225.62,11408.81,12912.09,13516.65,13835.52,11238.37,21581.15,11333.66,11158.14,12798.13,10415.23,27957.01,15277.79,9138.12,8941.30,8781.15,9026.30,9541.77,9637.19,9732.60,,,,,
Brazil,BRA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,107500.25,89532.34,103052.68,94995.47,104797.98,114144.79,128801.59,117036.16,126111.41,131963.59,142679.36,135387.85,138788.24,140032.58,129794.52,134823.03,140371.10,156594.64,145739.37,150324.89,156824.97,156866.20,166136.44,177820.03,162060.25,172172.14,168422.38,172736.34,193121.63,181519.26,168873.43,182449.88,187722.05,203102.70,220865.39,238336.68,187250.23,189712.56,190957.83,190325.74,207675.82,211102.47,214529.12,,,,,
Barbados,BRB,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,62.86,57.00,59.26,58.81,52.23,51.04,53.38,51.98,58.38,56.07,60.37,61.78,62.51,61.31,62.81,59.37,61.87,69.52,68.47,70.66,69.95,71.15,70.43,65.26,65.29,66.47,66.73,65.58,66.81,68.03,69.44,61.68,54.75,53.94,55.04,55.65,55.06,56.16,57.07,56.25,57.53,58.10,58.68,,,,,
Brunei Darussalam,BRN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,439.89,291.05,362.61,513.65,293.87,287.71,280.46,423.46,507.61,439.76,522.47,452.72,451.46,837.33,481.19,407.69,476.41,636.34,498.49,344.09,571.14,510.32,747.40,608.82,536.39,613.36,465.46,468.34,2423.39,546.29,394.77,417.92,411.53,399.88,370.60,653.67,372.45,351.67,331.98,334.04,335.66,339.02,342.37,,,,,
Bhutan,BTN,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,119.45,120.94,122.97,125.53,128.20,129.47,131.96,134.80,139.66,142.61,145.72,150.25,153.64,157.33,161.58,165.57,166.24,169.86,167.13,170.55,178.80,179.97,174.99,175.94,177.43,188.39,185.84,187.53,212.34,313.37,281.17,237.12,219.87,205.99,214.63,215.70,315.21,220.94,244.63,313.64,544.14,549.58,555.03,,,,,
Botswana,BWA,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,5644.57,2830.15,3259.99,3570.89,3141.35,3953.62,3641.04,4317.77,4412.70,5815.94,4775.77,4110.88,4643.99,4487.96,3259.19,3222.98,3060.77,4480.03,3049.14,3631.43,5394.47,4108.12,6742.69,3218.05,4117.02,4544.14,3631.43,3455.45,2627.69,2659.90,2497.09,4197.40,4768.48,2709.89,2767.46,3061.90,1955.62,2081.61,1955.02,2117.13,2184.86,2206.71,2228.56,,,,,
Central African Republic,CAF,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,35826.39,34126.97,33293.07,37688.25,24669.21,28127.23,29849.99,38623.52,29153.86,33710.95,46880.37,34767.74,43569.57,38510.99,37643.92,31627.44,32510.63,35126.41,30812.17,36059.51,50989.73,34660.48,44309.54,39135.64,38366.22,45427.71,43730.46,44710.99,26356.57,29005.37,31297.91,41863.02,26561.48,30428.36,28315.93,30187.52,107238.30,172723.32,114773.78,86734.59,98677.96,99664.74,100651.52,,,,,
