Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-350.00,58.33,-275.00,241.67,100.00,-116.67,166.67,-200.00,-83.33,16.67,16.67,-295.83,-83.33,-137.50,-204.17,-166.67,-141.67,-291.67,0.00,-137.50,-216.67,-33.33,,,,,
Afghanistan,AFG,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-96.25,-21.95,-20.96,52.20,-97.98,243.50,67.05,-38.40,-75.00,27.85,-94.36,-1.21,118.13,118.12,118.13,,,,,
Angola,AGO,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.16,-2.72,-5.17,-9.05,-10.10,-10.62,-5.88,7285.81,7101.79,6691.13,6364.73,6689.30,7391.92,7461.22,7529.93,6966.17,6847.05,6858.96,7110.82,7308.31,7308.31,7308.31,,,,,
Albania,ALB,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.94,-1.37,-1.73,-1.95,-2.07,-2.56,-82.77,-91.46,102.84,-93.65,-94.92,-83.15,-90.68,-87.79,-87.34,205.74,-76.93,-79.33,-75.01,-75.01,-75.01,,,,,
Andorra,AND,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.07,-4.46,-4.97,-5.86,-6.41,-3.05,-2.49,1297.01,1241.20,1298.85,939.94,1225.02,1175.29,1128.49,1271.59,882.85,1184.75,1156.63,1107.32,921.81,921.81,921.81,,,,,
United Arab Emirates,ARE,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82,5.55,-8.99,-22.58,-29.09,-22.71,-12.78,-16.08,-4.14,3.78,6.15,8.16,11.94,21.04,26.00,38.06,44.92,51.42,59.81,68.44,68.44,68.44,,,,,
Argentina,ARG,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.14,-9.43,1.54,-40.84,-29.81,-24.96,29.02,28.82,130.48,115.94,139.01,136.65,209.91,245.92,163.03,181.12,200.16,333.48,208.80,100.45,100.45,100.45,,,,,
Armenia,ARM,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,3.01,5.07,7.99,12.77,18.39,23.14,-22.51,-50.90,-3.77,-13.78,-1.76,32.59,202.32,213.65,354.32,263.89,323.87,347.31,511.53,511.53,511.53,,,,,
American Samoa,ASM,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.33,-300.00,-158.33,-75.00,-91.67,16.67,33.33,-83.33,-233.33,166.67,-100.00,-100.00,-100.00,-100.00,-366.67,-100.00,-100.00,166.67,-100.00,166.67,-366.67,433.33,,,,,
Antigua and Barbuda,ATG,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.62,1495.42,6754.96,16922.90,33258.78,60739.69,83869.47,118220.61,164022.14,210587.02,247228.24,288449.62,340358.02,410587.02,481579.39,530434.35,586159.54,641884.73,695319.85,748754.96,748754.96,748754.96,,,,,
Australia,AUS,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.71,-2.72,-17.90,29.55,-19.92,-20.29,1267.91,1210.58,2047.56,1640.21,2120.76,1709.08,1412.98,1745.93,937.33,1651.61,1343.35,824.49,1516.19,483.46,483.46,483.46,,,,,
Austria,AUT,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.61,-35.40,-41.39,-29.27,-16.26,-1.10,-3.41,-31.98,-24.90,-17.67,-8.22,1.97,12.34,24.23,29.30,45.20,55.51,66.60,162.43,88.25,88.25,88.25,,,,,
Azerbaijan,AZE,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.37,-19.06,-34.46,-50.58,-60.09,-66.81,-56.05,107.81,97.12,84.67,254.24,99.11,135.27,292.77,128.06,372.18,120.01,109.50,61.93,354.91,354.91,354.91,,,,,
Burundi,BDI,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.20,30.44,45.72,61.04,76.41,91.82,107.28,4801.57,356.64,1505.67,225.95,1828.37,1845.14,1796.91,1242.75,906.38,554.27,777.45,840.48,636.05,636.05,636.05,,,,,
Belgium,BEL,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,10.90,13.73,28.09,52.59,76.76,99.25,75.67,104.57,146.61,168.81,204.78,238.56,278.15,311.69,356.84,396.88,436.99,452.85,472.54,472.54,472.54,,,,,
