Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,"Population, total",SP.POP.TOTL,54211.00,55438.00,56225.00,56695.00,57032.00,57360.00,57715.00,58055.00,58386.00,58726.00,59063.00,59440.00,59840.00,60243.00,60528.00,60657.00,60586.00,60366.00,60103.00,59980.00,60096.00,60567.00,61345.00,62201.00,62836.00,63026.00,62644.00,61833.00,61079.00,61032.00,62149.00,64622.00,68235.00,72504.00,76700.00,80324.00,83200.00,85451.00,87277.00,89005.00,90853.00,92898.00,94992.00,97017.00,98737.00,100031.00,100832.00,101220.00,101353.00,101453.00,101669.00,102053.00,102577.00,103187.00,103795.00,104341.00,104822.00,
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8996351.00,9166764.00,9345868.00,9533954.00,9731361.00,9938414.00,10152331.00,10372630.00,10604346.00,10854428.00,11126123.00,11417825.00,11721940.00,12027822.00,12321541.00,12590286.00,12840299.00,13067538.00,13237734.00,13306695.00,13248370.00,13053954.00,12749645.00,12389269.00,12047115.00,11783050.00,11601041.00,11502761.00,11540888.00,11777609.00,12249114.00,12993657.00,13981231.00,15095099.00,16172719.00,17099541.00,17822884.00,18381605.00,18863999.00,19403676.00,20093756.00,20966463.00,21979923.00,23064851.00,24118979.00,25070798.00,25893450.00,26616792.00,27294031.00,28004331.00,28803167.00,29708599.00,30696958.00,31731688.00,32758020.00,33736494.00,34656032.00,
Angola,AGO,"Population, total",SP.POP.TOTL,5643182.00,5753024.00,5866061.00,5980417.00,6093321.00,6203299.00,6309770.00,6414995.00,6523791.00,6642632.00,6776381.00,6927269.00,7094834.00,7277960.00,7474338.00,7682479.00,7900997.00,8130988.00,8376147.00,8641521.00,8929900.00,9244507.00,9582156.00,9931562.00,10277321.00,10609042.00,10921037.00,11218268.00,11513968.00,11827237.00,12171441.00,12553446.00,12968345.00,13403734.00,13841301.00,14268994.00,14682284.00,15088981.00,15504318.00,15949766.00,16440924.00,16983266.00,17572649.00,18203369.00,18865716.00,19552542.00,20262399.00,20997687.00,21759420.00,22549547.00,23369131.00,24218565.00,25096150.00,25998340.00,26920466.00,27859305.00,28813463.00,
Albania,ALB,"Population, total",SP.POP.TOTL,1608800.00,1659800.00,1711319.00,1762621.00,1814135.00,1864791.00,1914573.00,1965598.00,2022272.00,2081695.00,2135479.00,2187853.00,2243126.00,2296752.00,2350124.00,2404831.00,2458526.00,2513546.00,2566266.00,2617832.00,2671997.00,2726056.00,2784278.00,2843960.00,2904429.00,2964762.00,3022635.00,3083605.00,3142336.00,3227943.00,3286542.00,3266790.00,3247039.00,3227287.00,3207536.00,3187784.00,3168033.00,3148281.00,3128530.00,3108778.00,3089027.00,3060173.00,3051010.00,3039616.00,3026939.00,3011487.00,2992547.00,2970017.00,2947314.00,2927519.00,2913021.00,2905195.00,2900401.00,2895092.00,2889104.00,2880703.00,2876101.00,
Andorra,AND,"Population, total",SP.POP.TOTL,13411.00,14375.00,15370.00,16412.00,17469.00,18549.00,19647.00,20758.00,21890.00,23058.00,24276.00,25559.00,26892.00,28232.00,29520.00,30705.00,31777.00,32771.00,33737.00,34818.00,36067.00,37500.00,39114.00,40867.00,42706.00,44600.00,46517.00,48455.00,50434.00,52448.00,54509.00,56671.00,58888.00,60971.00,62677.00,63850.00,64360.00,64327.00,64142.00,64370.00,65390.00,67341.00,70049.00,73182.00,76244.00,78867.00,80991.00,82683.00,83861.00,84462.00,84449.00,83751.00,82431.00,80788.00,79223.00,78014.00,77281.00,
Arab World,ARB,"Population, total",SP.POP.TOTL,92490932.00,95044497.00,97682294.00,100411076.00,103239902.00,106174988.00,109230593.00,112406932.00,115680165.00,119016542.00,122398374.00,125807419.00,129269375.00,132863416.00,136696761.00,140843298.00,145332378.00,150133054.00,155183724.00,160392488.00,165689490.00,171051950.00,176490084.00,182005827.00,187610756.00,193310301.00,199093767.00,204942549.00,210844771.00,216787402.00,224735446.00,230829868.00,235037179.00,241286091.00,247435930.00,255029671.00,260843462.00,266575075.00,272235146.00,277962869.00,283832016.00,289850357.00,296026575.00,302434519.00,309162029.00,316264728.00,323773264.00,331653797.00,339825483.00,348145094.00,356508908.00,364895878.00,373306993.00,381702086.00,390043028.00,398304960.00,406452690.00,
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,92634.00,101078.00,112472.00,125566.00,138529.00,150362.00,160481.00,170283.00,183194.00,203820.00,235499.00,278808.00,332760.00,397174.00,471364.00,554324.00,646943.00,748117.00,852262.00,952040.00,1042384.00,1120900.00,1189545.00,1253060.00,1318478.00,1391052.00,1472218.00,1560718.00,1655849.00,1756043.00,1860174.00,1970026.00,2086639.00,2207405.00,2328686.00,2448820.00,2571020.00,2700010.00,2838145.00,2988162.00,3154925.00,3326032.00,3507232.00,3741932.00,4087931.00,4579562.00,5242032.00,6044067.00,6894278.00,7666393.00,8270684.00,8672475.00,8900453.00,9006263.00,9070867.00,9154302.00,9269612.00,
Argentina,ARG,"Population, total",SP.POP.TOTL,20619075.00,20953077.00,21287682.00,21621840.00,21953929.00,22283390.00,22608748.00,22932203.00,23261278.00,23605987.00,23973058.00,24366439.00,24782949.00,25213388.00,25644506.00,26066975.00,26477152.00,26878565.00,27277741.00,27684534.00,28105888.00,28543364.00,28993987.00,29454738.00,29920904.00,30388783.00,30857244.00,31326473.00,31795517.00,32263561.00,32729739.00,33193918.00,33655151.00,34110917.00,34558115.00,34994814.00,35419682.00,35833969.00,36241590.00,36648068.00,37057452.00,37471509.00,37889370.00,38309379.00,38728696.00,39145488.00,39558890.00,39970224.00,40382389.00,40799407.00,41223889.00,41656879.00,42096739.00,42539925.00,42981515.00,43417765.00,43847430.00,
Armenia,ARM,"Population, total",SP.POP.TOTL,1874120.00,1941491.00,2009526.00,2077575.00,2144998.00,2211316.00,2276031.00,2339124.00,2401140.00,2462925.00,2525065.00,2587706.00,2650484.00,2712781.00,2773747.00,2832757.00,2889579.00,2944379.00,2997411.00,3049105.00,3099751.00,3148092.00,3193686.00,3238594.00,3285595.00,3335935.00,3392256.00,3451942.00,3504651.00,3536469.00,3538165.00,3505251.00,3442810.00,3363098.00,3283660.00,3217342.00,3168215.00,3133086.00,3108684.00,3089017.00,3069588.00,3050655.00,3033897.00,3017806.00,3000612.00,2981259.00,2958500.00,2933056.00,2908220.00,2888584.00,2877311.00,2875581.00,2881922.00,2893509.00,2906220.00,2916950.00,2924816.00,
American Samoa,ASM,"Population, total",SP.POP.TOTL,20013.00,20486.00,21117.00,21882.00,22698.00,23520.00,24321.00,25116.00,25885.00,26614.00,27292.00,27916.00,28492.00,29014.00,29488.00,29932.00,30321.00,30689.00,31102.00,31673.00,32457.00,33493.00,34738.00,36160.00,37688.00,39241.00,40837.00,42450.00,44047.00,45593.00,47038.00,48375.00,49593.00,50720.00,51803.00,52868.00,53929.00,54941.00,55901.00,56770.00,57521.00,58175.00,58731.00,59117.00,59264.00,59118.00,58650.00,57903.00,57030.00,56227.00,55637.00,55320.00,55230.00,55307.00,55437.00,55537.00,55599.00,
