Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.62,97.22,94.34,94.76,90.16,90.56,88.20,93.13,95.59,95.13,96.31,94.79,,,96.50,101.11,,,
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,16.81,,,17.43,19.13,,26.72,33.22,13.50,,18.40,19.16,,,,,,,,29.55,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,45.05,39.69,,,,,,,,,31.46,,,,,,,,,,,,,,,,,42.19,41.64,42.77,49.73,,,,,,
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02,,,,97.10,96.88,,94.08,92.97,,,97.81,95.13,94.09,92.84,98.05,103.62,94.52,107.82,106.37,,
Andorra,AND,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,49.65,49.57,49.15,50.62,52.06,54.98,56.58,58.69,58.10,53.97,57.07,60.52,61.27,62.46,64.82,68.89,67.99,67.77,68.15,68.27,69.54,69.48,70.18,70.32,71.08,72.02,72.97,73.73,74.76,75.74,75.38,76.60,77.50,80.00,81.99,82.91,81.20,83.21,85.28,83.72,85.42,85.40,87.25,85.15,86.39,,,
United Arab Emirates,ARE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,40.34,42.88,50.55,57.35,60.87,65.51,67.73,72.02,82.15,82.37,80.16,76.81,78.71,78.63,76.55,83.98,92.97,99.67,97.86,95.08,93.46,91.31,87.80,91.18,89.54,88.68,85.48,81.64,83.68,87.85,92.76,96.32,96.71,95.76,,86.36,87.41,89.49,94.09,96.54,102.71,109.19,,
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,70.72,71.57,,,75.31,78.72,78.64,,,,,,,,,,,,,,,,,,98.68,,93.62,92.18,100.09,98.22,98.49,98.08,102.03,99.92,98.56,96.68,99.13,101.85,105.06,104.99,104.81,104.42,103.22,100.88,101.81,,,
Armenia,ARM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.99,,,92.73,,,,,93.72,89.42,100.07,92.08,92.21,98.62,100.13,,,,,,,99.07,,
American Samoa,ASM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
