Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.99,1.00,0.99,0.98,0.95,0.96,0.97,0.99,1.01,1.00,1.01,1.01,1.02,,,,,
Afghanistan,AFG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.17,0.16,0.16,0.17,0.17,0.17,0.18,0.19,0.20,,,0.24,0.49,,0.47,0.48,0.53,,0.50,,,0.54,,0.36,0.43,0.47,,,,,,0.00,,0.54,0.41,0.55,0.58,0.57,0.59,0.61,0.63,0.67,0.67,0.66,0.66,0.65,,
Angola,AGO,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,0.56,0.58,,,,,,,,,,0.82,0.79,,,,,,,,,,,,,,,0.82,,,,,,,,,,0.84,0.83,0.79,0.64,,,,,,
Albania,ALB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,0.93,,0.93,0.94,0.93,0.92,0.93,0.96,0.95,0.94,0.94,0.94,0.95,0.95,0.94,0.94,1.01,1.03,1.00,0.97,0.98,0.96,,0.96,0.96,0.97,,,0.97,0.96,0.97,0.99,0.99,1.00,0.98,0.97,0.96,0.95,0.94,0.95,,
Andorra,AND,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,1.15,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.62,0.62,0.62,0.63,0.64,0.64,0.65,0.66,0.67,0.69,0.70,0.72,0.73,0.73,0.74,0.75,0.76,0.77,0.77,0.78,0.79,0.80,0.81,0.82,0.82,0.84,0.82,0.85,0.86,0.87,0.88,0.89,0.89,0.90,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.92,0.93,0.93,0.93,,,
United Arab Emirates,ARE,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,0.84,0.94,0.94,0.95,1.02,1.05,1.03,1.00,0.96,0.98,0.98,0.97,0.97,0.99,1.03,1.05,1.06,1.06,1.05,1.05,1.04,1.03,1.01,,1.03,1.05,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,1.03,1.03,1.02,1.03,1.03,1.03,1.03,1.03,1.04,1.02,1.02,1.02,1.01,,1.02,1.03,1.01,1.02,1.06,,,,,,,,1.03,1.03,1.02,1.03,1.02,1.03,1.02,1.03,1.03,1.04,1.04,1.05,1.05,1.05,1.04,1.04,1.03,1.03,1.03,,,
Armenia,ARM,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,1.13,1.15,1.17,,,,,,1.01,,
