Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.33,12.10,14.92,14.91,15.10,,,
Afghanistan,AFG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.73,67.98,67.99,68.35,68.70,69.04,70.37,72.39,74.44,73.72,74.99,72.81,79.06,66.29,72.44,74.06,70.76,72.00,68.65,87.18,85.99,82.49,85.91,78.64,85.32,,,
Angola,AGO,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.21,82.66,88.70,93.68,93.72,93.75,89.98,76.35,80.42,66.97,63.11,62.09,64.76,62.21,78.41,79.65,80.61,77.62,75.41,65.34,67.96,70.91,60.80,58.02,53.18,,,
Albania,ALB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.41,92.14,95.05,93.91,95.69,93.99,95.72,96.17,96.32,97.33,96.15,95.31,93.95,97.86,97.50,98.71,98.32,97.48,100.00,99.98,99.99,98.59,100.00,100.00,100.00,,,
Andorra,AND,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.94,98.82,94.59,75.00,80.05,76.54,88.73,86.51,86.69,88.75,89.43,,,
Arab World,ARB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,6.69,5.77,5.39,5.32,5.08,5.30,5.17,4.81,4.85,4.46,4.62,3.76,3.94,3.91,4.47,4.12,4.15,3.36,3.33,3.85,3.55,3.59,3.72,3.37,,,
United Arab Emirates,ARE,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.27,,,
Argentina,ARG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.44,30.44,34.87,38.93,42.60,40.21,33.40,39.39,36.39,27.29,33.16,41.83,43.56,37.95,31.63,33.53,37.13,29.84,26.34,28.93,28.59,32.31,29.26,31.54,31.54,,,
Armenia,ARM,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.01,16.25,33.81,68.20,62.11,34.51,25.30,23.06,24.83,20.99,21.16,16.85,30.04,36.03,33.13,28.07,30.72,31.47,31.18,35.67,39.49,33.54,28.94,28.24,25.75,,,
American Samoa,ASM,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.70,0.70,,,
Antigua and Barbuda,ATG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Australia,AUS,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66,10.60,10.07,10.55,10.19,9.62,9.23,9.59,8.43,8.54,8.38,8.10,7.86,8.39,8.14,8.80,9.30,8.65,8.12,7.48,8.61,10.43,10.59,13.26,14.91,,,
Austria,AUT,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.20,65.06,72.40,74.07,70.80,70.51,66.80,67.92,69.81,70.68,72.54,69.16,69.01,60.78,64.20,63.39,66.00,69.22,69.26,71.14,66.21,65.63,74.53,78.02,81.13,,,
Azerbaijan,AZE,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,7.50,8.84,12.73,10.41,9.13,9.00,10.17,10.84,8.29,8.20,6.86,10.80,11.60,12.67,13.16,10.26,10.82,10.31,12.24,18.42,13.19,7.92,6.67,5.63,,,
Burundi,BDI,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.18,98.53,98.13,98.20,98.29,98.33,98.33,98.36,98.21,98.00,98.02,98.29,98.45,98.07,97.86,98.04,97.90,98.33,98.24,96.39,87.65,90.86,97.96,87.02,80.72,,,
Belgium,BEL,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.75,0.86,0.72,0.84,0.91,0.75,0.76,0.92,1.02,1.26,1.37,1.41,1.43,1.77,2.46,3.50,3.98,5.29,6.06,6.92,9.41,12.81,14.14,17.03,,,
Benin,BEN,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,2.53,2.78,2.38,3.03,3.17,2.50,1.23,0.93,2.60,1.36,1.31,0.78,0.67,0.65,0.62,0.58,0.54,,,
Burkina Faso,BFA,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,6.70,9.95,21.86,33.80,38.70,26.98,20.08,23.16,34.65,25.18,14.72,17.49,21.57,21.45,19.47,14.62,18.14,21.94,18.91,20.79,15.46,15.44,14.44,10.40,,,
