Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.76,-9.24,-9.08,-9.88,-7.12,-0.18,6.51,10.10,18.23,8.01,0.46,10.49,17.42,16.97,17.90,18.53,21.91,22.04,24.16,42.01,43.53,,,,,,
Angola,AGO,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.87,27.93,-21.71,-12.10,-5.07,-7.22,-34.87,-30.57,-28.91,-31.54,-32.35,-32.11,-29.42,-27.45,-29.43,-28.40,-27.78,-26.39,-24.60,-21.21,-19.54,-18.01,,,,,
Albania,ALB,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.55,-43.96,-45.40,-38.86,-42.21,-44.32,-50.50,-52.79,-41.57,-24.51,-38.62,-32.48,-29.50,-33.40,-25.24,-27.77,-11.10,-26.78,-27.03,-23.45,-21.60,-19.92,,,,,
Andorra,AND,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,4.81,10.53,14.46,52.91,56.50,57.82,116.92,122.78,130.18,122.29,139.77,144.21,106.57,119.91,115.36,193.01,194.08,196.99,139.36,208.91,137.43,,,,,
United Arab Emirates,ARE,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.36,8.64,12.18,21.40,29.53,42.12,40.56,44.82,47.88,59.20,58.65,74.90,84.96,93.11,97.75,109.43,131.71,150.20,151.62,166.39,174.96,182.61,,,,,
Argentina,ARG,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,2.09,3.74,1.65,3.20,8.14,12.44,16.87,25.26,24.35,22.48,16.69,29.35,38.79,34.45,40.16,44.27,54.38,40.09,36.81,39.89,42.67,,,,,
Armenia,ARM,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,-41.32,-66.18,-75.30,-72.87,-75.77,-72.83,-72.76,-74.16,-72.23,-72.11,-73.88,-71.80,-69.13,-66.03,-64.64,-62.30,-49.58,-54.57,-53.93,-49.79,-50.18,,,,,
American Samoa,ASM,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,5.54,7.94,10.17,12.28,14.14,15.87,17.41,52.77,133.82,149.66,151.94,154.34,156.71,159.07,161.52,164.53,167.97,169.80,177.89,183.32,188.33,,,,,
Antigua and Barbuda,ATG,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,-0.21,-3.52,2.30,5.28,4.76,-2.66,1.92,8.54,7.09,7.25,9.17,12.50,20.61,21.97,24.52,28.42,32.13,,,44.46,48.47,,,,,
Australia,AUS,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,0.97,-0.59,8.32,1.45,5.51,90.96,90.91,146.76,124.19,157.42,131.69,112.25,137.27,88.53,132.15,120.95,85.08,129.15,62.16,62.93,57.93,,,,,
Austria,AUT,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,-0.77,-0.56,-0.10,3.31,7.28,6.13,7.38,5.06,3.57,7.53,9.46,16.06,20.66,22.19,19.79,16.83,18.50,11.54,17.96,15.63,13.31,,,,,
Azerbaijan,AZE,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,-32.82,-37.95,-45.55,-50.10,-51.77,-48.84,-48.20,-45.39,-46.92,-48.40,-43.51,-42.37,-39.03,-37.91,-42.19,-31.07,-36.46,-35.05,-30.88,-27.61,,,,,
