Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,42.31,42.79,43.29,43.72,44.13,44.48,131.63,135.06,358.99,409.51,424.78,519.00,564.02,530.39,571.04,642.15,435.86,616.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,14306.62,14391.78,13040.85,13535.75,14945.97,14574.16,14746.85,15247.28,15112.32,14923.08,15691.27,15810.34,15615.33,15322.53,14278.79,13545.74,12269.46,12400.51,12959.29,12348.96,12528.02,12307.06,11370.45,11390.87,11290.69,11635.66,12505.93,13343.25,13793.37,14812.37,13530.95,12585.40,13842.74,14709.88,14654.37,14770.26,14849.16,15272.63,15288.78,15554.43,17791.33,17981.31,,,,,,
Angola,AGO,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,60648.60,39162.17,42205.65,44252.67,40179.23,44429.30,38448.02,43563.41,46235.11,56644.65,48001.87,41894.79,45243.80,44852.06,35878.30,36714.19,35982.41,46721.26,35736.77,39342.99,50806.54,43761.08,64997.84,39775.11,44657.24,48230.30,47136.22,33091.22,35275.13,36119.43,34780.68,34371.84,34490.37,35858.02,36860.23,35855.74,36375.82,36690.53,37396.29,38309.47,40029.39,40878.65,41657.16,,,,,
Albania,ALB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,6960.87,6950.04,7613.27,7348.49,7632.66,7873.04,8470.98,8948.98,9996.06,11248.36,11433.58,10520.36,10730.53,11567.57,12215.24,11821.58,12079.11,12175.48,12603.89,12552.74,11112.73,8273.63,6227.15,6067.18,6793.80,6421.57,6187.38,5500.61,5246.13,6493.49,8389.28,6820.62,7503.06,7834.02,7401.10,8308.39,8027.15,9879.39,8136.79,8108.81,8507.00,8712.30,8898.64,,,,,
Andorra,AND,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,552362.06,576946.15,625015.94,699280.22,679448.01,683966.24,775863.73,799971.04,827155.74,883707.03,927714.24,838921.40,888519.75,902705.58,888825.87,740597.16,769537.10,774812.32,803738.86,841210.94,803898.97,844941.02,842557.51,888560.01,920110.69,1229230.40,1258068.57,1268677.80,1743814.21,1790897.01,1850378.16,1787026.04,1927544.16,1963193.02,1660586.95,1767878.64,1731288.79,2355481.35,2364088.66,2387502.01,1924244.97,2483349.10,1908696.04,,,,,
United Arab Emirates,ARE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,32962.19,41377.85,44905.46,56875.51,57411.53,57798.60,70352.62,69646.40,78630.04,57226.43,60172.92,53924.83,52758.69,50999.38,66620.78,67746.71,64880.31,62290.08,64750.90,71801.91,72498.58,80008.31,78759.70,81325.79,88014.56,93904.01,103034.65,101901.38,104993.20,107207.93,115420.51,115018.82,126800.21,134091.69,139999.46,143367.66,151837.32,167986.43,181388.54,182422.17,193127.16,199342.52,204888.72,,,,,
Argentina,ARG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,221957.02,213551.79,223912.28,226956.03,229456.38,233416.77,247051.66,247370.86,248238.32,255920.06,253870.99,245776.76,243613.02,248681.79,243111.57,238145.75,250785.28,256953.81,266245.22,265608.30,266555.03,267188.73,272139.19,276522.75,270948.36,275096.41,288246.27,299708.76,311514.70,333886.59,331450.87,326483.81,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.07,364684.25,372873.14,380295.32,,,,,
Armenia,ARM,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,6245.99,6383.67,6750.82,7371.76,7983.88,11627.04,11929.39,12413.37,12915.34,13468.89,14508.33,15064.57,15764.91,15928.71,15993.23,16261.82,16485.74,16465.04,17613.60,17459.83,24729.92,25425.70,14512.59,8362.91,6107.54,6710.37,5992.24,6719.59,6737.04,6389.01,6867.71,6896.45,6460.24,6973.88,7633.47,8401.82,8743.51,9323.72,12469.98,11235.09,11393.04,12417.74,12319.39,,,,,
