Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,,
Aruba,ABW,Urban population,SP.URB.TOTL,27526.00,28141.00,28532.00,28761.00,28924.00,29082.00,29253.00,29416.00,29575.00,29738.00,29900.00,30082.00,30275.00,30470.00,30605.00,30661.00,30615.00,30495.00,30353.00,30282.00,30332.00,30560.00,30943.00,31365.00,31676.00,31762.00,31560.00,31142.00,30753.00,30720.00,31273.00,32507.00,34116.00,35953.00,37719.00,39172.00,40232.00,40970.00,41488.00,41945.00,42444.00,43048.00,43670.00,44246.00,44669.00,44889.00,44881.00,44686.00,44375.00,44052.00,43778.00,43575.00,43456.00,43398.00,43365.00,43331.00,43296.00,
Afghanistan,AFG,Urban population,SP.URB.TOTL,739590.00,779908.00,822904.00,868543.00,917278.00,968995.00,1023863.00,1081865.00,1143785.00,1210486.00,1282731.00,1360662.00,1443674.00,1530661.00,1620159.00,1710139.00,1801366.00,1893094.00,1980100.00,2053888.00,2077477.00,2079495.00,2063148.00,2036424.00,2011386.00,1998170.00,1998047.00,2011948.00,2050008.00,2124445.00,2243548.00,2416430.00,2639936.00,2893730.00,3147535.00,3378356.00,3574379.00,3741760.00,3897491.00,4068951.00,4276353.00,4527917.00,4816900.00,5128931.00,5441724.00,5739959.00,6016861.00,6278103.00,6535829.00,6808693.00,7111214.00,7449134.00,7817901.00,8209305.00,8609463.00,9008656.00,9402875.00,
Angola,AGO,Urban population,SP.URB.TOTL,588866.00,621212.00,657233.00,695164.00,734733.00,775661.00,818062.00,862239.00,908895.00,958930.00,1013543.00,1069155.00,1126305.00,1188054.00,1254568.00,1325612.00,1401400.00,1482116.00,1568852.00,1662801.00,1765084.00,1876542.00,1997209.00,2125156.00,2257414.00,2391384.00,2525817.00,2661534.00,2801809.00,2951132.00,3113698.00,3291639.00,3484854.00,3690048.00,3903247.00,4120885.00,4341551.00,4567133.00,4802463.00,5054800.00,5329983.00,5630292.00,5956249.00,6306557.00,6679407.00,7071959.00,7485335.00,7920747.00,8379335.00,8861746.00,9370320.00,9905393.00,10464844.00,11046695.00,11649562.00,12272024.00,12913906.00,
Albania,ALB,Urban population,SP.URB.TOTL,493982.00,513592.00,530766.00,547928.00,565248.00,582374.00,599300.00,616687.00,635924.00,656733.00,677801.00,698647.00,720649.00,742333.00,764166.00,786668.00,809052.00,832109.00,854618.00,876974.00,902120.00,927513.00,954645.00,982645.00,1011235.00,1040127.00,1068501.00,1098349.00,1127722.00,1167160.00,1197222.00,1198912.00,1209490.00,1219882.00,1230218.00,1240399.00,1250518.00,1260414.00,1270214.00,1279853.00,1289391.00,1298584.00,1327220.00,1354848.00,1381828.00,1407298.00,1430886.00,1452398.00,1473392.00,1495260.00,1519519.00,1546929.00,1575788.00,1603389.00,1629715.00,1653725.00,1678953.00,
Andorra,AND,Urban population,SP.URB.TOTL,7839.00,8766.00,9754.00,10811.00,11915.00,13067.00,14262.00,15494.00,16765.00,18083.00,19458.00,20902.00,22401.00,23917.00,25397.00,26791.00,28085.00,29304.00,30491.00,31774.00,33205.00,34800.00,36561.00,38451.00,40421.00,42441.00,44342.00,46118.00,47926.00,49758.00,51627.00,53571.00,55546.00,57380.00,58847.00,59803.00,60128.00,59940.00,59605.00,59649.00,60417.00,61991.00,64194.00,66747.00,69192.00,71213.00,72761.00,73888.00,74525.00,74624.00,74161.00,73081.00,71474.00,69611.00,67841.00,66402.00,65389.00,
Arab World,ARB,Urban population,SP.URB.TOTL,28942239.00,30446953.00,32020431.00,33686952.00,35459848.00,37359336.00,39305024.00,41218526.00,43225262.00,45313438.00,47482360.00,49694609.00,52005840.00,54408370.00,56861365.00,59435700.00,62151874.00,64979632.00,67944537.00,71030308.00,74256377.00,77609044.00,81070195.00,84687438.00,88489442.00,92358599.00,96319023.00,100241710.00,104085395.00,107898289.00,113082408.00,117031665.00,119142113.00,123191553.00,126961865.00,132105803.00,135578816.00,139133474.00,142767585.00,146497312.00,150341498.00,154295973.00,158376383.00,162641528.00,167173066.00,172053353.00,177284703.00,182796645.00,188538975.00,194415471.00,200341856.00,206299403.00,212304727.00,218319352.00,224308828.00,230252968.00,236124336.00,
United Arab Emirates,ARE,Urban population,SP.URB.TOTL,68086.00,75185.00,84633.00,95547.00,106555.00,116866.00,125990.00,134987.00,146189.00,162648.00,187928.00,222489.00,265542.00,316945.00,376148.00,442351.00,516927.00,599287.00,684443.00,766487.00,841308.00,904376.00,957179.00,1005543.00,1055125.00,1110115.00,1172239.00,1240490.00,1313734.00,1390716.00,1470486.00,1554469.00,1643437.00,1735329.00,1827250.00,1917891.00,2018071.00,2131334.00,2252863.00,2384852.00,2531386.00,2682611.00,2843208.00,3048627.00,3346830.00,3767239.00,4332435.00,5017724.00,5748242.00,6418534.00,6951923.00,7317401.00,7537260.00,7653612.00,7734365.00,7830681.00,7953698.00,
Argentina,ARG,Urban population,SP.URB.TOTL,15177907.00,15550745.00,15916161.00,16283191.00,16650738.00,17017602.00,17383414.00,17749066.00,18120768.00,18505677.00,18909948.00,19327703.00,19762667.00,20210548.00,20661009.00,21106169.00,21543399.00,21974571.00,22405664.00,22844170.00,23296127.00,23780333.00,24285074.00,24799122.00,25319368.00,25842013.00,26365972.00,26891584.00,27418228.00,27944438.00,28469636.00,28987585.00,29462392.00,29933012.00,30397318.00,30852828.00,31298956.00,31735996.00,32167673.00,32599189.00,33033754.00,33472924.00,33918185.00,34367344.00,34816710.00,35263821.00,35708228.00,36151069.00,36595329.00,37043822.00,37499723.00,37963164.00,38432218.00,38903612.00,39372787.00,39836234.00,40292719.00,
Armenia,ARM,Urban population,SP.URB.TOTL,960955.00,1012429.00,1065431.00,1119584.00,1174558.00,1229978.00,1285571.00,1341277.00,1397343.00,1454160.00,1511605.00,1569625.00,1628590.00,1688028.00,1747461.00,1801945.00,1855659.00,1908576.00,1960876.00,2007500.00,2047386.00,2085894.00,2122747.00,2159333.00,2197505.00,2238079.00,2282853.00,2330095.00,2372859.00,2393836.00,2385466.00,2353776.00,2302482.00,2240025.00,2178117.00,2125280.00,2084084.00,2052297.00,2027670.00,2006224.00,1984980.00,1964164.00,1950280.00,1938940.00,1926903.00,1913491.00,1897878.00,1880588.00,1861174.00,1842599.00,1829394.00,1822284.00,1820251.00,1822187.00,1825455.00,1828140.00,1829706.00,
American Samoa,ASM,Urban population,SP.URB.TOTL,13251.00,13652.00,14163.00,14769.00,15416.00,16072.00,16721.00,17371.00,18009.00,18624.00,19209.00,19760.00,20281.00,20767.00,21222.00,21657.00,22055.00,22440.00,22859.00,23397.00,24125.00,25134.00,26312.00,27637.00,29059.00,30515.00,32019.00,33552.00,35087.00,36594.00,38076.00,39612.00,41058.00,42429.00,43766.00,45086.00,46402.00,47673.00,48895.00,50032.00,50956.00,51480.00,51915.00,52199.00,52270.00,52083.00,51612.00,50897.00,50072.00,49309.00,48735.00,48405.00,48278.00,48302.00,48377.00,48429.00,48453.00,
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,21945.00,21919.00,21959.00,22045.00,22149.00,22252.00,22349.00,22441.00,22519.00,22571.00,22692.00,23114.00,23505.00,23862.00,24196.00,24502.00,24792.00,25052.00,25265.00,25395.00,25424.00,25352.00,25197.00,24973.00,24711.00,24438.00,24153.00,23870.00,23647.00,23549.00,23628.00,23870.00,24008.00,24275.00,24624.00,25002.00,25403.00,25826.00,26235.00,26587.00,26853.00,26997.00,26828.00,26594.00,26333.00,26079.00,25832.00,25589.00,25345.00,25097.00,24838.00,24568.00,24325.00,24107.00,23918.00,23755.00,23618.00,
Australia,AUS,Urban population,SP.URB.TOTL,8378309.00,8589875.00,8844641.00,9058607.00,9280894.00,9507272.00,9769946.00,9936764.00,10156372.00,10413985.00,10664094.00,11074072.00,11290185.00,11474822.00,11779960.00,11937005.00,12068380.00,12196605.00,12330794.00,12456060.00,12599859.00,12792439.00,12998439.00,13152790.00,13293229.00,13466787.00,13679714.00,13889371.00,14118499.00,14359498.00,14573595.00,14760536.00,14969772.00,15149099.00,15342444.00,15561076.00,15799280.00,16017946.00,16227489.00,16455589.00,16694712.00,16962691.00,17203032.00,17447271.00,17681720.00,17947424.00,18245199.00,18390354.00,18793855.00,19216677.00,19549433.00,19854696.00,20231555.00,20609814.00,20947819.00,21273140.00,21606836.00,
